Image,Brand,Polish,Color,Finishes/Types,Link,Coats,Rating,Notes
,A England,Rose Bower,Red,"Micro Holo Glitter, Shimmer",http://thepolishwell.blogspot.com/2013/08/a-england-rose-bower-order-of-garter.html,,,
,Arcane Lacquer,Engage Within,Blue,"Shimmer, Duochrome",,,,
,Barry M,Mediterranean,Multi,"Duochrome, Metallic",https://rainbowifyme.blogspot.com/2015/02/barry-m-pacific-and-mediterranean.html,,,
,Barry M,Socialite,Pink,"Iridescent Glitter, Shimmer, Shifty",https://nail-lacquer.co.uk/barry-m-glitterati/,2,B+,"thinned this out but could use more thinner, is probably an A"
,Barry M,Vintage Violet,Purple,Creme,http://www.thevegantaff.com/2015/03/manicure-monday-barry-m-vintage-violet.html,2,A,"great formula, skinny brush tho"
,Barry M Gelly Hi-Shine,Almond,Gray,Creme,http://www.britnails.co.uk/2014/05/barry-m-gelly-nail-paint-summer-2014.html,,,
,Barry M Gelly Hi-Shine,Cardamom,Green,Creme,https://www.britnails.co.uk/2014/08/barry-m-autumnwinter-2014-gelly-nail.html#more,,,
,Barry M Gelly Hi-Shine,Green Berry,Teal,Creme,https://primerandtheprincess.blogspot.com/2013/02/new-barry-m-gelly-hi-shine-nail-polish_7916.html,,,
,Barry M Gelly Hi-Shine,Olive,Beige,Creme,http://www.britnails.co.uk/2014/05/barry-m-gelly-nail-paint-summer-2014.html,,,
,Barry M Speedy Quick Dry,Lap of Honour,Purple,Creme,https://www.britnails.co.uk/2015/02/barry-m-speedy-quick-dry-collection.html?showComment=1423267483764,,,
,Believe Beauty,I Came To Dance,Teal,Creme,https://www.believebeautycosmetics.com/nail-shop/jetsetter-mani-nail-polish,,,
,Believe Beauty,Lover Boy,Green,"Metallic, Shimmer",https://www.believebeautycosmetics.com/nail-shop/just-jewel-nail-polish,,,
,Believe Beauty,Party Purple,Purple,"Shimmer, Crelly",https://www.believebeautycosmetics.com/nail-shop/just-jewel-nail-polish,2,B,a little sheer and patchy but not bad
,Believe Beauty,Perfect Pitch,Blue,"Matte, Creme",https://www.believebeautycosmetics.com/nail-shop/matte-about-it-nail-polish,,,
,Bow Nail Polish,Miles Away,Multi,"Reflective Glitter, Shimmer, Textured",https://lollipolish.com/products/miles-away-reflective,,,
,Calvin Klein,Indigo Blue,Blue,"Shimmer, Mini",http://www.fashionpolish.com/2011/01/calvin-klein-htf-nail-polishes.html,,,
,Cherimoya,Teal Tale,Teal,Frost,,,,
,Cherimoya,Elektra Doll,Pink,"Chunky Glitter, Glitter, Jelly",,,,
,China Glaze,Fairy Dust,Silver,"Scattered Holo, Topper",http://themanicuredmanatee.blogspot.com/2010/10/my-notd.html,,,
,China Glaze,Ghoulish Glow,Clear,"Topper, Glow in the Dark",http://www.fashionpolish.com/2013/10/china-glaze-monsters-ball-collection.html,,,
,China Glaze,This One's For You,Multi,"Shimmer, Iridescent Glitter, Chunky Glitter, Topper",http://www.lackycorner.com/2013/10/united-in-pink-china-glaze-this-ones.html,,,
,China Glaze,Winter Holly,Green,Micro Holo Glitter,http://jroxy13.blogspot.com/2013/04/china-glaze-in-winter-holly-comparison.html,,,
,Ciaté,All Aglow,Gold,"Glitter, Mini",http://myrainydaynails.blogspot.com/2013/12/ciate-tree-trinkets-swatches.html,,,
,Ciaté,Candy Cane,Multi,"Glitter, Mini",http://myrainydaynails.blogspot.com/2013/12/ciate-tree-trinkets-swatches.html,,,
,Ciaté,Humbug,Multi,"Glitter, Mini",http://myrainydaynails.blogspot.com/2013/12/ciate-tree-trinkets-swatches.html,,,
,Ciaté,Pecan Pie,Brown,Shimmer,https://curbappealnails.blogspot.com/2014/12/ciate-pecan-pie-swatches.html,,,
,Ciaté,Tinsel Town,Gold,"Glitter, Mini",http://myrainydaynails.blogspot.com/2013/12/ciate-tree-trinkets-swatches.html,,,
,Ciaté,Wrap Star!,Multi,"Glitter, Mini",http://myrainydaynails.blogspot.com/2013/12/ciate-tree-trinkets-swatches.html,,,
,Ciaté,Yule Rules,Teal,"Glitter, Mini",http://myrainydaynails.blogspot.com/2013/12/ciate-tree-trinkets-swatches.html,,,
,Cirque Colors,Cloud Nine,Purple,"Shimmer, Scattered Holo",https://www.cirquecolors.com/cloud-nine/,3,B-,"needs a lot of coats, looked ok over another color"
,Cirque Colors,Earthen,Brown,"Shimmer, Scattered Holo",https://www.cirquecolors.com/earthen/,3,C+,"needs a lot of coats and the holo is barely visible, color is a little drab but maybe because I was wearing it in summer"
,Cirque Colors,Earthen,Purple,"Shimmer, Scattered Holo",https://www.cirquecolors.com/earthen/,,,
,Cirque Colors,Electric Daisy,Yellow,Neon,https://www.cirquecolors.com/electric-daisy/,3,B+,"a little patchy, easily see imperfections cuz so bright, long lasting"
,Cirque Colors,Fizzy Lifting Drink,Purple,"Magnetic, Holo",https://www.cirquecolors.com/fizzy-lifting-drink/,,,
,Cirque Colors,Fizzy Lifting Drink,Purple,"Magnetic, Linear Holo, Jelly",https://www.cirquecolors.com/fizzy-lifting-drink/,,,
,Cirque Colors,Helter Seltzer,Gray,"Magnetic, Holo",https://www.cirquecolors.com/helter-seltzer/,,,
,Cirque Colors,Helter Seltzer,Gray,"Magnetic, Linear Holo, Jelly",https://www.cirquecolors.com/helter-seltzer/,,,
,Cirque Colors,Pyro,Orange,Neon,https://www.cirquecolors.com/pyro/,2,A,"almost 1 coat! super easy to apply, but may be difficult on toes"
,Cirque Colors,Socialite,Purple,Neon,https://www.cirquecolors.com/socialite/,2,A,"great formula, super long lasting, so many compliments "
,Cirque Colors,Velvetine,Blue,"Shimmer, Micro Holo Glitter, Shifty",https://www.cirquecolors.com/velvetine/,,,
,Color Club,All That Razz,Pink,"Neon, Mini",https://colorclub.com/products/all-that-razz,,,
,Color Club,Cosmic Fate,Beige,Linear Holo,https://colorclub.com/products/cosmic-fate,,,
,Color Club,Disco Dress,Purple,"Neon, Mini",https://www.paperblog.fr/5159427/color-club-disco-dress/,,,
,Color Club,The Uptown,Multi,"Multichrome, Flakie",https://mynailpolishobsession.blogspot.com/2014/12/my-personal-top-10-mainstream-polishes.html,1,A+,BEAUTIFUL and flakies lay and spread so evenly
,Color Club,Warhol,Pink,"Neon, Mini",https://colorclub.com/products/warhol,,,
,Color Club,Williamsburg,Blue,Shimmer,http://www.lucysstash.com/2014/02/color-club-williamsburg-over-opi-incognito-in-sausalito.html,,,
,Color Club,You Rock!,Multi,Holo/Regular Chunky Glitter/Glitter/Flakie,https://www.nicehands.dk/shop/you-rock-color-1887p.html,,,
,Color Club,Youthquake,Pink,"Neon, Mini",https://colorclub.com/products/youthquake,,,
,Color Club,Top Coat,Clear,Top Coat,,,,
,Color Club,zzz *unmarked*,Green,Creme,,,,
,Color Club,zzz *unmarked*,Pink,Neon,,,,
,Color Club,zzz *unmarked*,Red,Creme,,,,
,Color Club,zzz *unmarked*,Silver,Metallic,,,,
,Colores de Carol,Blue Moon Milk,Multi,"Thermal, Multichrome Shimmer, Flakie",https://rainbow-connection.co.uk/collections/colores-de-carol/products/blue-moon-milk-ships-mid-oct,,,
,Colores de Carol,Unicorn Horn,Purple,"Jelly, Multichrome Flakie",https://www.coloresdecarol.com/product/unicorn-horn,,,
,Colors By Llarowe,My Own Private Paradise,Purple,Linear Holo,https://mariasnailpolishblog.blogspot.com/2014/11/colors-by-llarowe-cbl-my-own-private.html,,,
,CoverGirl Outlast,Bahama Mama - Glosstini,Red,"Shimmer, Mini",http://abeautymoment.blogspot.com/2014/08/covergirl-outlast-stay-brilliant.html,,,
,CoverGirl Outlast,Grapevine,Purple,"Duochrome, Shimmer",https://curbappealnails.blogspot.com/2014/07/comparison-swatches-essie-lace-is-on.html,,,
,CoverGirl Outlast,Vio-Last,Purple,Creme,http://www.alllacqueredup.com/2013/03/fave-covergirl-outlast-nail-polish-shades-spring-2013.html,,,
,CoverGirl Outlast,Wine Stain,Purple,Creme,,,,
,Crowstoes,Maia,Purple,"Duochrome, Glass Fleck",http://nazsnails.blogspot.com/2013/06/crowstoes-maia.html,,,
,Cupcake Polish,Keratoconus Awareness,Red,"Shifty, Shimmer, Iridescent",https://www.ohbiteit.com/2021/12/cupcake-polish.html,,,
,Cupcake Polish,Mr. Mint,Pink,"Neon, Jelly, Holo Glitter, Glitter",https://www.cupcakepolish.com/products/mr-mint,,,
